STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
IA,3106611,R_20,3074054,3155070,543,R_20,24,R_20,4,R_20,330.08,IF20,1023.08,IF20,711.21,IF20,1734.29,IF20,128390985,IF20,2559766,IF20,45628,IF20,7528170,IF20,138524549,IF20,71385100,IF20,24644570,IF20,96029670,IF20,9050779,IF20,4030410,IF20,2472663,IF20,15553852,IF20,23372823,IF20,134956345,IF20,8523925,IF20,808848,IF20,83205,IF20,3257345,IF20,12673323,IF20,23851804,IF20,11451719,IF20,27325516,IF20,622987,IF20,12505079,IF20,1215559,IF20,56930,IF20,1306,IF20,20568,R_20,21874,IF20,965995,R_20,11854428,IF20,1165415,IF20,1917513,IF20,19898889,IF20,6887705,IF20,3272479,IF20,16626410,IF20,2892946,IF20,6165425,IF20,22791835,IF20,360144,IF20,306402,IF20,84244,IF20,48846,IF20,7759,IF20,1571407,IF20,1106245,IF20,92210,IF20,8977,IF20,1663956,IF20,5504530,IF20,7850446,07/01/2019,06/30/2020,19,2021,04
ID,1535815,R_20,1535815,1787065,100,R_20,49,R_20,13,R_20,111.51,R_20,244.39,R_20,617.39,R_20,861.78,R_20,62839014,R_20,2112694,R_20,261856,R_20,4476792,R_20,69690356,R_20,29211372,R_20,9875610,R_20,39086982,R_20,3883251,R_20,2507108,R_20,823529,R_20,7213888,R_20,15060907,R_20,61361777,R_20,2487510,R_20,24412,R_20,129702,R_20,1008353,R_20,3649977,R_20,3104435,R_20,4251260,IF20,1300365,R_20,211809,R_20,464013,R_20,379381,R_20,17516,R_20,494,R_20,1560,R_20,2054,R_20,222103,R_20,4533303,IF20,706787,IF20,810966,R_20,12416913,IF20,4696605,IF20,2335003,R_20,10081910,IF20,659169,R_20,2994172,R_20,13076082,IF20,810411,IF20,809458,IF20,20844,IF20,12441,IF20,2216,IF20,481782,IF20,325952,IF20,29743,IF20,1837,R_20,728684,IF20,1676641,IF20,7233470,10/01/2019,09/30/2020,16,2021,07
IL,11736506,R_20,11736506,12671821,623,R_20,152,R_20,17,R_20,2233.35,R_20,3227.55,R_20,5298.02,R_20,8525.57,R_20,814663334,R_20,44146394,R_20,2093692,R_20,47714295,R_20,908617715,R_20,407437685,R_20,113912395,R_20,521350080,R_20,39517570,R_20,29805615,R_20,12088502,R_20,81411687,R_20,202539181,R_20,805300948,R_20,68727352,R_20,374039,IF20,42553,IF20,7222089,IF20,76366033,IF20,83439888,IF20,37805583,R_20,42992157,IF20,2656566,R_20,22778205,IF20,3842503,R_20,2002360,IF20,6414,IF20,8099,R_20,14513,IF20,1677195,R_20,50159232,IF20,7229500,IF20,4627390,R_20,94079817,IF20,34629035,R_20,13961284,IF20,80118533,R_20,18626666,IF20,32587950,IF20,112706483,IF20,5147197,IF20,5142066,IF20,230820,IF20,129094,IF20,29695,IF20,4959555,IF20,3305756,IF20,368356,IF20,16117,R_20,7912970,IF20,28905395,IF20,58511892,12/01/2018,06/30/2020,17,2021,03
IN,6210308,IF20,6106421,6483802,235,R_20,192,R_20,26,R_20,1001.11,IF20,1491.9,IF20,2807.64,IF20,4299.54,IF20,353784566,IF20,26559320,IF20,1776065,IF20,20022238,IF20,402142189,IF20,161410329,IF20,53542521,IF20,214952850,IF20,20737564,IF20,19519875,IF20,5614333,IF20,45871772,IF20,84229299,IF20,345053921,IF20,71946660,IF20,1649732,IF20,19042,IF20,7249616,IF20,80865050,IF20,76782077,IF20,21041922,IF20,16474133,IF20,1243444,IF20,4542570,IF20,2348910,IF20,532054,IF20,4999,IF20,20296,R_20,25295,IF20,762646,R_20,12760976,IF20,1851023,IF20,2740462,IF20,41838212,IF20,12908669,IF20,11278370,IF20,30559842,IF20,11380920,IF20,22659290,IF20,53219132,IF20,676727,IF20,674372,IF20,55202,IF20,28771,IF20,6218,IF20,961400,IF20,568337,IF20,66075,IF20,7193,IF20,1830835,IF20,11473748,IF20,28125478,01/01/2020,12/31/2020,18,2021,03
KS,2519540,R_20,2519540,2913314,324,R_20,47,R_20,9,R_20,280.39,R_20,725.3,R_20,1029.85,R_20,1755.15,R_20,137869132,IF20,4477959,R_20,599347,IF20,13232023,IF20,156178461,IF20,67778970,IF20,22166310,IF20,89945280,IF20,7118129,IF20,5594830,IF20,2222965,IF20,14935924,IF20,39334131,IF20,144215335,IF20,5990659,IF20,0,IF20,0,IF20,1801458,IF20,7792117,IF20,5701219,IF20,8438280,R_20,110248113,R_20,429225,IF20,46462759,R_20,975693,IF20,2925116,IF20,5209,IF20,24375,R_20,29584,IF20,565583,R_20,5433344,IF20,1301309,IF20,3293951,IF20,17430304,IF20,6357845,IF20,3712787,R_20,13717517,IF20,1203259,IF20,4916046,IF20,18633563,IF20,626204,IF20,640014,IF20,37023,IF20,22794,IF20,4631,IF20,780756,IF20,528597,IF20,65588,IF20,3262,IF20,822259,IF20,2667796,IF20,7061033,01/01/2020,12/31/2020,20,2021,04
KY,4475071,R_20,4467673,4475071,120,R_20,84,R_20,72,R_20,390.61,R_20,1315.63,R_20,969.78,R_20,2285.41,R_20,196113323,R_20,6477410,R_20,194830,R_20,7834529,R_20,210620092,R_20,76506228,R_20,32381821,R_20,108888049,R_20,9462074,R_20,8697305,R_20,3533532,R_20,21692911,R_20,36247443,R_20,166828403,R_20,1938286,R_20,490760,R_20,0,R_20,1705871,R_20,4134917,R_20,40935676,R_20,8990741,R_20,19259500,R_20,510748,R_20,5403399,R_20,1007471,R_20,356864,R_20,1062,R_20,7566,R_20,8628,R_20,622412,R_20,11430998,R_20,2757602,R_20,2566165,R_20,25717063,R_20,7402518,R_20,5308699,R_20,20408364,R_20,5834071,R_20,11142770,R_20,31551134,R_20,33477,R_20,51082,R_20,79219,R_20,38045,R_20,8361,R_20,2521547,R_20,1006830,R_20,154565,R_20,4888,R_20,2562349,R_20,5318812,R_20,16205644,07/01/2019,06/30/2020,21,2021,05
LA,4595036,R_20,4595036,4645318,67,R_20,269,R_20,25,R_20,476.12,R_20,1257.3,R_20,1472.39,R_20,2729.69,R_20,262721483,R_20,4662744,R_20,1152849,R_20,6680231,R_20,275217307,R_20,104107256,R_20,39916735,R_20,144023991,R_20,11345870,R_20,10964188,R_20,5561956,R_20,27872014,R_20,58777981,R_20,230673986,R_20,9293001,R_20,0,R_20,52048,R_20,2068551,R_20,11413600,R_20,26814063,R_20,11046145,IF20,6505598,R_20,455021,R_20,2885640,R_20,1354499,R_20,780820,R_20,1343,R_20,3283,R_20,4626,R_20,563254,R_20,6634013,R_20,2102591,R_20,2388942,R_20,14941612,R_20,2904038,R_20,5071589,R_20,9870023,R_20,26134950,R_20,31206539,R_20,41076562,R_20,46724,R_20,60196,R_20,31017,R_20,16534,R_20,5251,R_20,807646,R_20,529594,R_20,85543,R_20,5284,R_20,1319894,R_20,3365716,IF20,13216567,01/01/2020,12/31/2020,22,2021,05
MA,6901795,R_20,6901567,6901795,369,R_20,92,R_20,6,R_20,1306.89,IF20,1994.81,IF20,1896.4,IF20,3891.21,IF20,309057295,IF20,12751058,IF20,714950,IF20,27057155,IF20,349580458,IF20,220077900,IF20,35938716,IF20,256016616,IF20,20404649,IF20,13192330,IF20,5681541,IF20,39278520,IF20,55369959,IF20,350665095,IF20,18121852,IF20,22211267,IF20,34200,IF20,3559693,IF20,43927012,IF20,56051790,IF20,28468380,IF20,24536003,IF20,1470561,IF20,7446469,IF20,2193309,IF20,448833,IF20,4793,IF20,19158,IF20,23951,IF20,957989,R_20,26967040,IF20,3637740,IF20,3779561,IF20,46009895,IF20,16394563,IF20,9292057,IF20,36717838,IF20,79144877,IF20,88436934,IF20,125154772,IF20,4647071,IF20,4717237,IF20,139493,IF20,70164,IF20,14167,IF20,2417489,IF20,1517222,IF20,150016,IF20,7079,IF20,4212943,IF20,25371947,IF20,122743796,07/01/2019,06/30/2020,25,2021,01
MD,6052177,R_20,6052177,6052177,14,R_20,175,R_20,21,R_20,688.48,R_20,1406.2,R_20,1890.31,R_20,3296.51,R_20,230283983,R_20,59791533,R_20,2339620,R_20,29908138,R_20,322323274,R_20,169186653,R_20,67648080,R_20,236834733,R_20,15577104,R_20,14191122,R_20,5163614,R_20,34931840,R_20,36843675,R_20,308610248,R_20,17611929,R_20,5533462,R_20,0,R_20,5767740,R_20,28913131,R_20,28445210,R_20,10419314,R_20,4041826,R_20,799651,R_20,2446373,R_20,1046644,R_20,431780,R_20,804,R_20,216,R_20,1020,R_20,362245,R_20,17483983,R_20,5391532,R_20,3148306,R_20,43696507,R_20,15790118,R_20,8307645,R_20,35388862,R_20,11679604,R_20,19987249,R_20,55376111,R_20,336008,R_20,353582,R_20,76288,R_20,40640,R_20,9173,R_20,1959528,R_20,1178251,R_20,151472,R_20,5636,R_20,3509938,R_20,18303156,R_20,21826106,07/01/2019,06/30/2020,24,2021,02
ME,1315468,R_20,1224488,1350141,255,R_20,4,R_20,1,R_20,164.5,IF20,371.23,IF20,338.98,IF20,710.21,IF20,38638659,R_20,377394,IF20,914941,IF20,13133258,IF20,53064252,IF20,29134151,IF20,7356917,IF20,36491068,IF20,3024847,IF20,548846,IF20,539055,IF20,4112748,IF20,10797591,IF20,51401407,IF20,1931913,IF20,2500,IF20,110722,IF20,3522047,IF20,5567182,IF20,8372345,IF20,6093087,IF20,4997940,IF20,246256,IF20,2748003,IF20,450958,IF20,428404,IF20,20490,R_20,0,R_20,20490,R_20,256857,R_20,3964950,IF20,432117,IF20,636010,IF20,5860485,IF20,2174762,IF20,782304,IF20,5078181,IF20,648431,IF20,1430735,IF20,6508916,IF20,433568,IF20,467335,IF20,34789,IF20,13849,IF20,2238,IF20,588753,IF20,225579,IF20,22898,IF20,1924,R_20,388626,IF20,1122799,IF20,2958895,07/01/2019,12/31/2020,23,2021,01
