STABR,POPU_LSA,F_POPLSA,POPU_UND,POPU_ST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,PHYSCIR,F_PHYSCR,ELINFO,F_ELINFO,ELCONT,F_ELCONT,TOTCOLL,F_TOTCOL,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,WEBVISIT,STARTDAT,ENDDATE,INCITSST,YR_SUB,OBEREG
MI,9857597,R_20,9857597,9986857,393,R_20,254,R_20,10,R_20,1282.64,IF20,1842.33,IF20,2985.28,IF20,4827.61,IF20,441344958,IF20,11837299,IF20,449827,IF20,31464146,IF20,485096230,IF20,202057963,IF20,69315546,IF20,271373509,IF20,23422948,IF20,14456264,IF20,9302254,IF20,47181466,IF20,114360485,IF20,432915460,IF20,15810405,IF20,198182,IF20,289058,IF20,6782472,IF20,23080117,IF20,85853692,IF20,25321988,IF20,23415554,IF20,1768536,IF20,12772305,IF20,2782032,IF20,2127148,IF20,2515,IF20,219,IF20,2734,IF20,1322677,R_20,33880114,IF20,5916581,IF20,4312889,IF20,69554829,IF20,22235104,IF20,11934086,IF20,57620743,IF20,6341769,IF20,18275855,IF20,75896598,IF20,2453807,IF20,2537036,IF20,163160,IF20,77674,IF20,14368,IF20,4170942,IF20,2267173,IF20,254973,IF20,12124,IF20,5277968,IF20,11426180,IF20,54968040,12/01/2018,09/30/2020,26,2021,03
MN,6033891,R_20,5680337,5680337,127,R_20,228,R_20,9,R_20,544.84,R_20,844.46,R_20,1301.36,R_20,2145.82,R_20,228124063,R_20,8260429,R_20,4091913,R_20,17458493,R_20,257934898,R_20,108933800,R_20,38774893,IF20,147708693,R_20,11305830,IF20,9023176,IF20,3650399,R_20,23979405,IF20,56543401,R_20,228231499,R_20,18616608,R_20,195519,R_20,28210,R_20,350714,R_20,19191051,R_20,18548399,R_20,13476766,R_20,4963515,R_20,770067,R_20,1390263,R_20,1112448,R_20,36783,R_20,830,R_20,7695,R_20,8525,R_20,405276,R_20,7863564,IF20,1593786,IF20,3497360,R_20,32054833,R_20,10434571,R_20,9935422,R_20,22119411,R_20,4726646,IF20,14662068,IF20,36781479,IF20,978634,IF20,941536,IF20,23898,IF20,13087,IF20,2292,IF20,402863,IF20,263086,IF20,16569,IF20,5440,R_20,1079560,IF20,2868718,R_20,32648826,01/01/2020,12/31/2020,27,2021,04
MO,5463832,R_20,5463832,6126452,139,R_20,227,R_20,24,R_20,312.97,IF20,853.28,IF20,2511.89,IF20,3365.17,IF20,288000752,IF20,4664692,IF20,2401249,IF20,15199034,IF20,310265727,IF20,123063660,IF20,39376320,IF20,162439980,IF20,16838689,IF20,16545931,IF20,6414104,IF20,39798724,IF20,73690116,IF20,275928820,IF20,2011756,IF20,0,IF20,503326,IF20,4325348,IF20,6840430,IF20,44457583,IF20,15332105,IF20,7511565,IF20,903691,IF20,3110395,IF20,1395040,IF20,472841,IF20,1144,IF20,2516,IF20,3660,IF20,791779,R_20,19758877,IF20,2743452,IF20,3308004,IF20,49445938,IF20,15834008,IF20,10120779,IF20,39325159,IF20,9441813,IF20,19562592,IF20,58887751,IF20,489410,IF20,526171,IF20,112346,IF20,54427,IF20,8132,IF20,2145182,IF20,1518840,IF20,131265,IF20,4676,IF20,3201885,IF20,4886779,IF20,32753377,01/01/2019,10/31/2020,29,2021,04
MP,53883,R_20,53883,53883,1,R_20,2,R_20,1,R_20,1,R_20,4,R_20,13,R_20,17,R_20,376282,R_20,0,R_20,43041,R_20,0,R_20,419323,R_20,354467,R_20,3860,R_20,358327,R_20,5498,R_20,0,R_20,0,R_20,5498,R_20,50988,R_20,414813,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,0,R_20,83624,R_20,5500,R_20,336,R_20,0,R_20,4725,R_20,0,R_20,0,R_20,0,R_20,0,R_20,5062,R_20,44710,R_20,700,R_20,52361,R_20,36564,R_20,9381,R_20,7664,R_20,28900,R_20,0,R_20,7664,R_20,36564,R_20,0,R_20,0,R_20,10,R_20,5,R_20,5,R_20,2611,R_20,2328,R_20,283,R_20,40,R_20,3615,R_20,1501,R_20,4457,10/01/2019,09/30/2020,69,2021,09
MS,2996401,IF20,2956871,2976149,53,R_20,176,R_20,3,R_20,125,IF20,603.6,IF20,213.59,IF20,817.19,IF20,39670535,IF20,6925002,R_20,575942,R_20,3957084,IF20,51128563,IF20,24206999,IF20,8843551,IF20,33050550,IF20,2233914,IF20,885170,IF20,474532,IF20,3593616,IF20,10788537,IF20,47432703,IF20,124640,IF20,0,IF20,0,IF20,17470,IF20,142110,IF20,836529,IF20,5375400,IF20,867166,R_20,181852,IF20,196038,IF20,419063,IF20,20384,IF20,176,IF20,2491,R_20,2667,IF20,310026,R_20,3494007,IF20,658629,IF20,1553740,IF20,4452053,IF20,1463374,IF20,421297,IF20,4030756,IF20,1551845,R_20,1973142,R_20,6003898,R_20,23484,IF20,27824,IF20,17874,IF20,7378,IF20,1400,IF20,678930,IF20,378924,IF20,17765,IF20,2744,IF20,786706,IF20,2015299,IF20,2289477,10/01/2019,09/30/2020,28,2021,05
MT,988533,R_20,988533,988533,82,R_20,34,R_20,8,R_20,73.53,IF20,235.26,IF20,164.92,IF20,400.18,IF20,30596407,IF20,1043563,IF20,23040,IF20,1810132,IF20,33473142,IF20,15737490,IF20,5448149,IF20,21185639,IF20,1747136,IF20,638598,IF20,481212,IF20,2866946,IF20,5466683,IF20,29519268,IF20,205619,IF20,1920,IF20,0,IF20,40451,IF20,247990,IF20,5929675,IF20,2392780,IF20,3256787,IF20,116589,IF20,2059009,IF20,236380,IF20,117473,IF20,201,IF20,23,IF20,224,IF20,169846,R_20,2982245,IF20,415343,IF20,415232,IF20,4983055,IF20,1600854,IF20,1155604,IF20,3827451,IF20,273178,IF20,1428782,IF20,5256233,IF20,253018,IF20,255682,IF20,14386,IF20,8367,IF20,1866,IF20,251059,IF20,150665,IF20,18827,IF20,1088,IF20,458340,IF20,777498,IF20,1671340,07/01/2019,06/30/2020,30,2021,07
NC,10487088,R_20,10487088,10487088,71,R_20,318,R_20,21,R_20,771.01,R_20,830.18,R_20,2290.32,R_20,3120.5,R_20,231677668,R_20,14415707,R_20,1570272,R_20,15082442,R_20,262746089,R_20,123539168,R_20,50597810,R_20,174136978,R_20,16283387,R_20,9143072,R_20,2134239,R_20,27560698,R_20,43231958,R_20,244929634,R_20,17726779,R_20,450000,R_20,144136,R_20,967789,R_20,19288704,R_20,41585882,R_20,15011479,R_20,9941227,R_20,617880,R_20,1992320,R_20,929342,R_20,243944,R_20,503,R_20,7354,R_20,7857,R_20,690729,R_20,21615878,R_20,5593177,IF20,5820973,IF20,42604835,R_20,17491478,R_20,9491521,R_20,33113314,R_20,19725174,R_20,29216695,R_20,62330009,R_20,422149,R_20,435440,R_20,112056,R_20,68383,R_20,9642,R_20,2680789,R_20,1971775,R_20,145824,R_20,7539,R_20,3242265,R_20,5756818,IF20,37335481,07/01/2019,06/30/2020,37,2021,05
ND,687262,R_20,687262,760077,79,R_20,8,R_20,10,R_20,56.85,IF20,141.14,IF20,110.89,IF20,252.03,IF20,20060952,IF20,1441870,IF20,19161,IF20,962677,IF20,22484660,IF20,11226018,IF20,3552668,IF20,14778686,IF20,1695740,IF20,585047,IF20,335748,IF20,2616535,IF20,5024506,IF20,22419727,IF20,1006333,IF20,19764,IF20,0,IF20,255783,IF20,1281880,IF20,2139686,IF20,2093137,IF20,1547516,IF20,91731,IF20,665191,IF20,150541,IF20,105782,IF20,2382,IF20,1501,R_20,3883,IF20,111317,R_20,912480,IF20,150635,IF20,246299,IF20,2381632,IF20,834884,IF20,607472,IF20,1774160,IF20,272804,IF20,880276,IF20,2654436,IF20,56324,IF20,37673,IF20,5917,IF20,3943,IF20,615,IF20,264151,IF20,196892,IF20,9962,IF20,701,IF20,146467,IF20,1261298,IF20,692409,01/01/2020,12/31/2020,38,2021,04
NE,1595049,R_20,1595049,1934408,244,R_20,20,R_20,7,R_20,119.06,IF20,431.65,IF20,344.29,IF20,775.94,IF20,63382345,IF20,625970,IF20,84610,IF20,2866985,IF20,66959910,IF20,30039542,IF20,10325474,IF20,40365016,IF20,4430189,IF20,2164425,IF20,1096273,IF20,7690887,IF20,11877893,IF20,59933796,IF20,3336318,IF20,2777,IF20,44058,IF20,995304,IF20,4378457,IF20,7193935,IF20,5544038,IF20,5425825,IF20,232422,IF20,3681818,IF20,422048,IF20,8525,IF20,343,IF20,6100,R_20,6443,IF20,322809,R_20,3613263,IF20,446801,IF20,1067180,IF20,9507429,IF20,4063511,IF20,2395740,IF20,7111689,IF20,1244077,IF20,3639817,IF20,10751506,IF20,23186,IF20,22426,IF20,20404,IF20,13100,IF20,1718,IF20,488311,IF20,368904,IF20,24745,IF20,2574,IF20,700028,IF20,2738211,IF20,4889889,01/01/2019,12/31/2020,31,2021,04
NH,1476655,R_20,1377529,1377529,224,R_20,6,R_20,0,R_20,253.33,IF20,582.4,IF20,272.04,IF20,854.44,IF20,62930473,IF20,25808,IF20,178312,IF20,4344995,IF20,67479588,IF20,38344741,IF20,11189828,IF20,49534569,IF20,3691002,IF20,1410258,IF20,738566,IF20,5839826,IF20,9704109,IF20,65078504,IF20,40063589,IF20,951757,IF20,731,IF20,8877126,IF20,49893203,IF20,10218142,IF20,5368969,IF20,8903890,R_20,277073,IF20,7017458,R_20,527838,IF20,1079433,R_20,250,R_20,4662,R_20,4912,R_20,229132,R_20,3458789,IF20,521364,IF20,711956,IF20,7069354,IF20,2187467,IF20,1767755,R_20,5301599,IF20,991788,R_20,2759543,R_20,8061142,IF20,184639,IF20,187684,IF20,30452,IF20,16551,IF20,2747,IF20,465903,IF20,306465,IF20,29686,IF20,1370,IF20,330448,IF20,835958,IF20,2913430,07/01/2019,12/31/2020,33,2021,01
NJ,9404597,R_20,8708750,8791894,296,R_20,144,R_20,11,R_20,1312.88,R_20,1403.98,IF20,3053.81,IF20,4457.79,IF20,491632098,IF20,4024311,IF20,1587472,IF20,13265378,IF20,510509259,IF20,235943559,IF20,100299467,IF20,336243026,IF20,20874982,IF20,13106108,IF20,4595222,IF20,38576312,IF20,84375149,IF20,459194487,IF20,9060255,IF20,101598,IF20,0,IF20,1852663,IF20,11014516,IF20,14012660,IF20,24795909,IF20,26702512,IF20,2625310,IF20,18740684,IF20,2375195,IF20,3680965,IF20,3949,IF20,6512,R_20,10461,IF20,681547,R_20,13375081,IF20,2682558,IF20,3934803,IF20,31853585,IF20,10648090,IF20,8486618,IF20,23366967,IF20,4162902,IF20,12649520,IF20,36016487,IF20,1279726,IF20,1316648,IF20,120533,IF20,60277,IF20,13358,IF20,2938777,IF20,1751214,IF20,191950,IF20,7916,IF20,1839141,IF20,7627312,IF20,19808683,01/01/2020,12/31/2020,34,2021,02
NM,1502038,R_20,1502038,2059179,98,R_20,28,R_20,1,R_20,125.3,IF20,266.66,IF20,401.55,IF20,668.21,IF20,45713964,IF20,4303547,IF20,588261,IF20,3261619,IF20,53867391,IF20,23069020,IF20,9424739,IF20,32493759,IF20,3500864,IF20,2791644,IF20,1133988,IF20,7426496,IF20,9723998,IF20,49644253,IF20,3694521,IF20,952332,IF20,39690,IF20,763956,IF20,5450499,IF20,3575329,IF20,3905749,IF20,1099897,IF20,185501,IF20,404250,IF20,383117,IF20,67179,IF20,364,IF20,4802,R_20,5166,IF20,208858,R_20,4679185,IF20,651165,IF20,1170263,IF20,7635268,IF20,2699486,IF20,2372954,IF20,5262314,IF20,1530677,IF20,3903631,IF20,9165945,IF20,7827,IF20,14754,IF20,18562,IF20,10409,IF20,3009,IF20,324236,IF20,218555,IF20,20805,IF20,1810,IF20,1064681,IF20,3044378,IF20,3870307,07/01/2019,06/30/2020,35,2021,06
NV,3111753,R_20,3111753,3112937,20,R_20,64,R_20,4,R_20,172.98,R_20,216.62,R_20,629.99,R_20,846.61,R_20,80200686,R_20,26080503,R_20,929034,R_20,3323144,R_20,110533367,R_20,48508874,R_20,21056330,R_20,69565204,R_20,4881157,R_20,6358294,R_20,1715700,R_20,12955151,R_20,18547175,R_20,101067530,R_20,57515,R_20,0,R_20,0,R_20,47402,R_20,104917,R_20,1669587,R_20,3317983,R_20,719992,R_20,236150,R_20,683558,R_20,518612,R_20,93037,R_20,292,R_20,990,R_20,1282,R_20,126573,R_20,6858254,R_20,773314,R_20,1338920,R_20,14482395,R_20,3885127,R_20,4436797,R_20,10045598,R_20,2507687,R_20,6944484,R_20,16990082,R_20,21476,R_20,23435,R_20,25263,R_20,13512,R_20,3626,R_20,595414,R_20,370152,R_20,54058,R_20,1485,R_20,1756446,R_20,1223999,R_20,9088353,07/01/2019,06/30/2020,32,2021,08
NY,19568973,R_20,19378102,19378102,755,R_20,314,R_20,14,R_20,3590.7,R_20,4382.11,R_20,7880.01,R_20,12262.12,R_20,1254516265,IF20,48034331,IF20,7228809,R_20,178058591,IF20,1487837996,IF20,694034115,IF20,298671816,IF20,992705931,IF20,47466557,IF20,39073609,IF20,10080712,IF20,96620878,IF20,241839200,IF20,1331166009,IF20,50091179,IF20,21921708,IF20,2719966,IF20,57275444,IF20,132008297,IF20,153977799,IF20,63897822,IF20,50893315,IF20,2809704,IF20,14238039,IF20,5432261,IF20,953159,IF20,11908,IF20,11340,R_20,23248,IF20,1457648,R_20,37763326,IF20,7364245,IF20,10328292,IF20,65431543,IF20,16368265,IF20,19997504,IF20,45434039,IF20,12936370,IF20,32933874,IF20,78367913,IF20,4888001,IF20,4943364,IF20,318178,IF20,122338,IF20,37531,IF20,6612372,IF20,3391403,IF20,486591,IF20,18312,IF20,5489044,IF20,9469434,IF20,75947203,04/01/2019,12/31/2020,36,2021,02
OH,11510799,R_20,11502271,11502271,239,R_20,483,R_20,55,R_20,2007.12,IF20,2831.83,IF20,5970.43,IF20,8802.26,IF20,450420332,R_20,408462270,IF20,2481371,R_20,71711874,IF20,933075847,IF20,352665251,R_20,125632412,R_20,478297663,R_20,33433123,R_20,35549438,R_20,21510127,R_20,90492688,R_20,149273669,R_20,718064020,R_20,0,R_20,156000,R_20,239200,R_20,42995191,R_20,43390391,R_20,84442581,IF20,37088876,R_20,121452502,IF20,3329426,IF20,59802771,IF20,5438762,R_20,6610446,IF20,1703,R_20,15562,R_20,17265,R_20,1389622,R_20,44225213,IF20,11861098,IF20,7877363,R_20,115957732,R_20,32206723,R_20,29440266,R_20,86517466,R_20,22307476,R_20,51747742,R_20,138265208,R_20,6978116,IF20,7053414,IF20,109176,IF20,71268,IF20,9166,IF20,2542940,IF20,1862716,IF20,152674,IF20,8845,IF20,3981941,IF20,10176565,IF20,57402685,01/01/2020,12/31/2020,39,2021,03
OK,3255364,R_20,3219371,3956971,119,R_20,96,R_20,4,R_20,280.44,IF20,984.16,R_20,559.35,R_20,1543.51,R_20,129438066,R_20,1666332,R_20,436736,R_20,5924622,R_20,137465756,R_20,62985325,R_20,22338288,R_20,85323613,R_20,6561319,R_20,7670179,R_20,2700262,R_20,16931760,R_20,22589225,R_20,124844598,R_20,249999,R_20,0,R_20,9190,R_20,1489678,R_20,1748867,R_20,5923564,R_20,5799339,R_20,7166584,R_20,320404,R_20,2600677,R_20,598398,R_20,187274,R_20,508,R_20,5236,R_20,5744,R_20,465856,R_20,9563212,IF20,1311582,IF20,1823694,R_20,21101935,IF20,7359726,R_20,5512333,IF20,15589602,R_20,5424195,IF20,10936528,IF20,26526130,IF20,28968,IF20,57524,IF20,39283,R_20,19882,R_20,5503,R_20,954205,R_20,562485,R_20,60013,R_20,3290,R_20,1966942,R_20,4196389,IF20,9531133,07/01/2019,06/30/2020,40,2021,06
OR,4677994,R_20,3930818,4236400,138,R_20,83,R_20,5,R_20,452.96,IF20,539.26,IF20,1435.52,IF20,1974.78,IF20,265827743,IF20,811465,IF20,1050039,IF20,13291940,IF20,280981187,IF20,105567240,IF20,60489024,IF20,166056264,IF20,10449376,IF20,12397252,IF20,2539733,IF20,25386361,IF20,59174497,IF20,250617122,IF20,10371736,IF20,7000,IF20,0,IF20,1602654,IF20,11981390,IF20,11778270,IF20,8587061,R_20,11633991,R_20,604820,R_20,6081854,R_20,1022758,R_20,770183,R_20,1085,R_20,3384,R_20,4469,R_20,344451,R_20,13501598,IF20,1304000,IF20,2124045,IF20,43074003,IF20,9007148,IF20,9832282,IF20,33241721,IF20,2346165,IF20,12178447,IF20,45420168,IF20,48039,R_20,44773,R_20,51350,IF20,33251,IF20,4932,IF20,1187974,IF20,921579,IF20,67243,IF20,2959,IF20,1724048,IF20,7507785,IF20,18696571,07/01/2019,06/30/2020,41,2021,08
PA,12436746,R_20,12434855,12702379,443,R_20,175,R_20,21,R_20,1112.37,IF20,1384.09,IF20,2844.07,IF20,4228.16,IF20,208586858,IF20,59980310,IF20,24423149,IF20,58466919,IF20,351457236,IF20,182627062,IF20,65866246,IF20,248493308,IF20,16635373,IF20,12011448,IF20,3695770,IF20,32342591,IF20,79053005,IF20,359888904,IF20,509105,R_20,129384,R_20,0,R_20,6942175,R_20,7580664,R_20,21328228,R_20,23440175,IF20,11320142,IF20,1677229,IF20,5895741,IF20,2106017,IF20,1562712,IF20,6474,IF20,48276,R_20,54750,IF20,793128,R_20,16920514,IF20,4579739,IF20,5097876,IF20,46452036,IF20,12164829,IF20,17321378,IF20,29130658,IF20,12558769,IF20,29880147,IF20,59010805,IF20,3416682,IF20,3434816,IF20,145607,IF20,90716,IF20,15125,IF20,3567463,IF20,2684855,IF20,209654,IF20,7044,IF20,1834670,IF20,4575637,IF20,25903974,01/01/2020,12/31/2020,42,2021,02
RI,1424662,R_20,1052566,1052566,47,R_20,24,R_20,2,R_20,236.83,R_20,260.93,R_20,349.7,R_20,610.63,R_20,37399911,R_20,9248084,R_20,906618,R_20,8526920,R_20,56081533,R_20,29533524,R_20,9814624,R_20,39348148,R_20,2188313,R_20,1347020,R_20,558031,R_20,4093364,R_20,9876339,R_20,53317851,R_20,341903,R_20,544239,R_20,450000,R_20,2798222,R_20,4134364,R_20,1599957,R_20,3080587,R_20,5159507,R_20,143372,R_20,1402402,R_20,284740,R_20,64249,R_20,200,R_20,1824,R_20,2024,R_20,117047,R_20,3701021,R_20,400547,R_20,378392,R_20,5671090,R_20,1858111,R_20,1115676,R_20,4555414,R_20,383604744,R_20,384720420,R_20,389275834,R_20,922995,R_20,925593,R_20,29158,R_20,10620,R_20,2678,R_20,435323,R_20,164862,R_20,31635,R_20,1410,R_20,504338,R_20,546636,R_20,2357807,07/01/2019,06/30/2020,44,2021,01
SC,4652360,R_20,4652360,4652360,42,R_20,163,R_20,33,R_20,530.1,R_20,604.63,R_20,1489.93,R_20,2094.56,R_20,155152142,R_20,10248278,R_20,356398,R_20,4350244,R_20,170107062,R_20,78918652,R_20,32108978,R_20,111027630,R_20,9601085,R_20,8013665,R_20,3002234,R_20,20616984,R_20,28054669,R_20,159699283,R_20,7937037,R_20,0,R_20,100000,R_20,0,R_20,8037037,R_20,7347910,R_20,8223237,R_20,5318132,R_20,392652,R_20,3646090,R_20,808705,R_20,378449,R_20,391,R_20,2310,R_20,2701,R_20,473541,R_20,10165262,R_20,1922349,R_20,2541516,R_20,18891176,R_20,6010266,R_20,5317937,R_20,13573239,R_20,10558999,R_20,15876936,R_20,29450175,R_20,282708,R_20,299076,R_20,46164,R_20,21855,R_20,4734,R_20,887152,R_20,613115,R_20,82213,R_20,4439,R_20,2450646,R_20,2472239,R_20,19878453,07/01/2019,06/30/2020,45,2021,05
SD,1277428,R_20,790528,886677,108,R_20,30,R_20,5,R_20,49.7,R_20,170.98,R_20,172.38,R_20,343.36,R_20,26784329,R_20,909,R_20,466491,R_20,796179,R_20,28047908,R_20,14106940,R_20,4556069,R_20,18663009,R_20,1710453,R_20,1004350,R_20,356073,R_20,3070876,R_20,4848147,R_20,26582032,R_20,774059,R_20,0,R_20,0,R_20,383334,R_20,1157393,R_20,1131739,R_20,2698945,R_20,2307345,R_20,109303,R_20,928798,R_20,170599,R_20,4415,R_20,175,R_20,6372,R_20,6547,R_20,160688,R_20,1480357,IF20,201909,IF20,353866,R_20,4141704,IF20,1555005,IF20,920997,IF20,3220707,IF20,425026,IF20,1346023,IF20,4566730,IF20,25224,R_20,28003,R_20,7309,R_20,5087,R_20,800,R_20,113755,R_20,83791,R_20,8659,R_20,952,R_20,318418,IF20,556660,IF20,1904456,01/01/2020,12/31/2020,46,2021,04
TN,6656447,R_20,6656447,6829174,185,R_20,99,R_20,3,R_20,297.93,R_20,641.03,R_20,1257.66,R_20,1898.69,R_20,134205915,R_20,375679,R_20,437692,R_20,5747103,R_20,140766389,R_20,69512778,R_20,25015313,R_20,94528091,R_20,8022671,R_20,4326982,R_20,1032617,R_20,13382270,R_20,28636571,R_20,136546932,R_20,11104092,R_20,15280,R_20,800,R_20,253954,R_20,11374126,R_20,10148062,R_20,10275228,R_20,26243486,R_20,484490,R_20,13673273,IF20,798104,R_20,648155,IF20,452,R_20,12395,R_20,12847,R_20,581517,R_20,12990646,IF20,2624839,IF20,3098704,R_20,24648012,R_20,8359392,R_20,7884101,R_20,16763911,R_20,3803260,IF20,11687361,IF20,28451272,IF20,98615,IF20,116143,IF20,61948,R_20,32123,R_20,6808,R_20,1426810,R_20,958700,R_20,116804,R_20,5790,R_20,2786144,R_20,3694690,IF20,18025841,07/01/2019,06/30/2020,47,2021,05
TX,26710375,IF20,26710375,28995881,553,R_20,327,R_20,13,R_20,1699.33,IF20,2584.74,IF20,4221.39,IF20,6806.13,IF20,576560812,IF20,33550,IF20,2351202,IF20,18874550,IF20,597820114,IF20,282618383,IF20,115028764,IF20,397647147,IF20,31545353,IF20,27303651,IF20,7334576,IF20,66183580,IF20,107877367,IF20,571708094,IF20,63720547,IF20,400000,IF20,105183,IF20,4490970,IF20,68716700,IF20,40668333,IF20,34571175,IF20,17065978,IF20,1693235,IF20,5950275,IF20,3354375,IF20,652070,IF20,2762,IF20,33283,IF20,36045,IF20,1326772,R_20,35191610,IF20,8768944,IF20,14560845,IF20,85736215,IF20,34464959,IF20,22891020,IF20,62845195,IF20,22301072,IF20,45192092,IF20,108037287,IF20,476815,IF20,785485,IF20,191543,IF20,94140,IF20,17715,IF20,3928661,IF20,2618928,IF20,248976,IF20,18608,IF20,5674921,IF20,56432070,IF20,50886259,02/01/2019,12/31/2020,48,2021,06
UT,3141334,R_20,3133255,3205958,62,R_20,63,R_20,13,R_20,275.63,IF20,467.61,IF20,926.9,IF20,1394.51,IF20,126700714,IF20,1525269,IF20,1830269,IF20,2953718,IF20,133009970,IF20,55191793,IF20,24897175,IF20,80088968,IF20,8248801,IF20,4724507,IF20,2246991,IF20,15220299,IF20,25574653,IF20,120883920,IF20,6009093,IF20,0,IF20,5000,IF20,10733151,IF20,16747244,IF20,22507910,IF20,6267986,IF20,6468692,R_20,569817,IF20,11496970,R_20,710809,IF20,418759,R_20,277,IF20,3839,R_20,4116,IF20,219664,R_20,8589522,IF20,1417492,IF20,1781388,IF20,26885212,IF20,10766405,IF20,7214312,R_20,19670900,IF20,1945051,IF20,9159363,IF20,28830263,IF20,33931,IF20,30356,R_20,27094,IF20,16516,IF20,3429,IF20,817670,IF20,557394,IF20,81128,IF20,1887,IF20,886840,IF20,2288814,IF20,15097483,07/01/2019,12/31/2020,49,2021,07
VA,8460940,R_20,8438123,8586967,82,R_20,283,R_20,23,R_20,947,R_20,1073,R_20,3204.9,R_20,4277.9,R_20,292231333,R_20,16737044,R_20,34646,R_20,2596805,R_20,311599828,R_20,168162226,R_20,58694944,R_20,226857170,R_20,16930952,R_20,10427065,R_20,4055437,R_20,31413454,R_20,49778928,R_20,308049552,R_20,21160482,R_20,500000,R_20,0,R_20,78045,R_20,21738527,R_20,9146032,R_20,14920907,R_20,20238130,R_20,827211,R_20,12257786,R_20,1333015,R_20,1147637,R_20,884,R_20,4092,R_20,4976,R_20,862761,R_20,23266470,R_20,5017867,IF20,4810580,R_20,49066827,R_20,18448666,R_20,11034565,R_20,38032262,R_20,11427488,R_20,22462053,R_20,60494315,R_20,110036,IF20,138188,IF20,99953,R_20,53383,R_20,9329,IF20,2051132,R_20,1302839,R_20,142473,IF20,8044,R_20,4031226,IF20,15163812,IF20,29212439,07/01/2019,06/30/2020,51,2021,05
VI,106405,R_20,106405,106405,0,R_20,5,R_20,3,R_20,2,R_20,2,R_20,22,R_20,24,R_20,0,R_20,842015,R_20,109827,R_20,0,R_20,951842,R_20,450383,R_20,240251,R_20,690634,R_20,44187,R_20,0,R_20,0,R_20,44187,R_20,217020,R_20,951841,R_20,-1,U_20,-1,U_20,-1,U_20,-1,U_20,-1,U_20,-1,U_20,176762,R_20,-1,U_20,629,R_20,-1,U_20,4637,R_20,-1,U_20,-1,U_20,-1,U_20,-1,U_20,4528,R_20,-1,U_20,-1,U_20,-1,U_20,9000,R_20,3000,R_20,0,R_20,9000,R_20,0,R_20,0,R_20,9000,R_20,-1,U_20,-1,U_20,4,R_20,3,R_20,1,R_20,100,R_20,70,R_20,30,R_20,15,R_20,-1,U_20,-1,U_20,-1,10/01/2019,09/30/2020,78,2021,09
VT,634191,R_20,602130,624313,183,R_20,3,R_20,4,R_20,79.92,IF20,250.32,IF20,135.16,IF20,385.48,IF20,22702192,IF20,0,R_20,89602,IF20,4184478,IF20,26976272,IF20,15467725,IF20,4005799,IF20,19473524,IF20,1663754,IF20,497408,IF20,341277,IF20,2502439,IF20,5446759,IF20,27422722,IF20,832280,IF20,54268,IF20,90764,IF20,1642643,IF20,2619955,IF20,7967122,IF20,2918311,IF20,2024971,IF20,132046,IF20,1658692,IF20,255398,IF20,1953,IF20,807,IF20,9384,R_20,10191,IF20,204921,R_20,2506720,IF20,311734,IF20,324569,IF20,3847671,IF20,1420182,IF20,565751,IF20,3281920,IF20,207115,IF20,772866,IF20,4054786,IF20,72023,IF20,74425,IF20,25271,IF20,13155,IF20,1573,IF20,394951,IF20,247722,IF20,12185,IF20,1342,IF20,329412,IF20,674351,IF20,1485337,01/01/2019,12/31/2020,50,2021,01
